"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\AuthResponseDTO.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\CategoryDTO.cs", "C#", 9, 0, 0, 0, 0, 3, 12
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\ErrorReponseDTO.cs", "C#", 7, 0, 0, 0, 0, 1, 8
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\GetAllProductDTO.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\OrderDTO.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\OrderDetailDTO.cs", "C#", 17, 0, 0, 0, 0, 3, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\ProductDTO.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\RegistrationRequestDTO.cs", "C#", 21, 0, 0, 0, 0, 7, 28
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\RegistrationResponseDTO.cs", "C#", 7, 0, 0, 0, 0, 1, 8
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\DTOs\ShoppingCartItemDTO.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\DeleteAllShoppingCartItemsByUserId\DeleteAllShoppingCartItemsByUserIdCommand.cs", "C#", 10, 0, 0, 0, 0, 3, 13
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\DeleteAllShoppingCartItemsByUserId\DeleteAllShoppingCartItemsByUserIdHandler.cs", "C#", 15, 0, 0, 0, 0, 4, 19
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\DeleteCategory\DeleteCategoryCommand.cs", "C#", 10, 0, 0, 0, 0, 3, 13
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\DeleteCategory\DeleteCategoryCommandHandler.cs", "C#", 22, 0, 0, 0, 0, 5, 27
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\DeleteProduct\DeleteProductCommand.cs", "C#", 10, 0, 0, 0, 0, 4, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\DeleteProduct\DeleteProductCommandHandler.cs", "C#", 27, 0, 0, 0, 0, 5, 32
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\DeleteShoppingCartItem\DeleteShoppingCartItemCommand.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\DeleteShoppingCartItem\DeleteShoppingCartItemHandler.cs", "C#", 22, 0, 0, 0, 0, 5, 27
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\PostCategory\PostCategoryCommand.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\PostCategory\PostCategoryCommandHandler.cs", "C#", 30, 0, 0, 0, 0, 7, 37
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\PostOrder\PostOrderCommand.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\PostOrder\PostOrderHandler.cs", "C#", 25, 0, 0, 0, 0, 5, 30
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\PostProduct\PostProductCommand.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\PostProduct\PostProductCommandHandler.cs", "C#", 30, 0, 0, 0, 0, 6, 36
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\PostShoppingCartItem\PostShoppinCartItemCommand.cs", "C#", 16, 0, 0, 0, 0, 5, 21
